"DGUID","srpop21","srpop26","srpop31"
"2021S051235250030",90,120,165
"2021S051235250031",120,145,190
"2021S051235250032",115,180,230
"2021S051235250033",160,205,250
"2021S051235250034",105,155,210
"2021S051235250035",75,105,120
"2021S051235250036",95,145,185
"2021S051235250037",140,185,225
"2021S051235250038",320,370,435
"2021S051235250039",215,240,280
"2021S051235250040",105,130,175
"2021S051235250041",135,170,200
"2021S051235250042",55,70,95
"2021S051235250043",195,255,290
"2021S051235250044",100,130,170
"2021S051235250045",75,105,125
"2021S051235250046",135,165,195
"2021S051235250047",345,390,450
"2021S051235250048",75,90,120
"2021S051235250049",100,125,155
"2021S051235250050",115,155,185
"2021S051235250051",290,390,505
"2021S051235250052",70,90,115
"2021S051235250053",195,265,315
"2021S051235250054",85,110,145
"2021S051235250055",145,185,225
"2021S051235250056",45,65,80
"2021S051235250059",290,385,505
"2021S051235250060",165,210,255
"2021S051235250061",95,135,160
"2021S051235250062",400,495,595
"2021S051235250065",125,190,225
"2021S051235250066",110,155,190
"2021S051235250067",115,145,195
"2021S051235250070",285,340,390
"2021S051235250073",80,110,145
"2021S051235250074",90,115,135
"2021S051235250075",90,120,160
"2021S051235250077",110,150,190
"2021S051235250078",95,135,165
"2021S051235250079",90,115,135
"2021S051235250080",95,130,160
"2021S051235250081",135,190,250
"2021S051235250082",75,90,95
"2021S051235250083",85,110,150
"2021S051235250084",65,90,110
"2021S051235250085",70,90,105
"2021S051235250086",310,335,365
"2021S051235250087",95,130,165
"2021S051235250088",120,155,185
"2021S051235250089",195,225,255
"2021S051235250093",135,165,205
"2021S051235250094",65,105,120
"2021S051235250095",155,180,210
"2021S051235250096",75,100,130
"2021S051235250097",85,115,140
"2021S051235250098",65,85,95
"2021S051235250099",335,390,445
"2021S051235250100",105,140,175
"2021S051235250101",105,125,155
"2021S051235250102",70,90,105
"2021S051235250105",130,165,205
"2021S051235250106",100,135,165
"2021S051235250107",125,165,205
"2021S051235250108",110,150,195
"2021S051235250109",135,190,240
"2021S051235250110",115,155,200
"2021S051235250111",275,305,335
"2021S051235250112",100,125,155
"2021S051235250113",65,90,115
"2021S051235250114",100,120,140
"2021S051235250115",165,245,320
"2021S051235250116",90,125,180
"2021S051235250117",40,60,75
"2021S051235250118",70,95,135
"2021S051235250119",120,155,190
"2021S051235250120",40,65,95
"2021S051235250121",75,100,125
"2021S051235250122",85,110,135
"2021S051235250123",90,125,155
"2021S051235250124",115,145,170
"2021S051235250125",65,85,105
"2021S051235250126",110,145,185
"2021S051235250127",175,295,415
"2021S051235250128",70,100,135
"2021S051235250129",80,130,160
"2021S051235250130",75,110,135
"2021S051235250133",355,365,375
"2021S051235250134",215,270,350
"2021S051235250135",210,320,465
"2021S051235250136",85,120,145
"2021S051235250137",80,115,155
"2021S051235250144",270,380,525
"2021S051235250145",80,115,145
"2021S051235250147",185,215,245
"2021S051235250148",115,165,195
"2021S051235250149",120,165,205
"2021S051235250150",150,175,220
"2021S051235250151",110,155,185
"2021S051235250152",455,580,680
"2021S051235250153",155,215,250
"2021S051235250156",75,115,155
"2021S051235250158",105,145,195
"2021S051235250159",110,155,195
"2021S051235250160",80,110,145
"2021S051235250161",160,225,285
"2021S051235250162",95,125,165
"2021S051235250163",155,215,255
"2021S051235250164",190,255,300
"2021S051235250172",80,130,185
"2021S051235250173",185,240,315
"2021S051235250175",100,180,290
"2021S051235250176",85,135,205
"2021S051235250177",85,115,175
"2021S051235250178",85,140,200
"2021S051235250179",60,115,180
"2021S051235250180",240,360,510
"2021S051235250181",45,75,105
"2021S051235250183",40,75,90
"2021S051235250184",60,90,115
"2021S051235250185",225,260,290
"2021S051235250186",60,75,90
"2021S051235250188",80,135,200
"2021S051235250189",115,170,220
"2021S051235250190",75,110,155
"2021S051235250191",90,140,180
"2021S051235250192",170,260,325
"2021S051235250193",70,105,130
"2021S051235250194",105,145,175
"2021S051235250196",90,135,165
"2021S051235250197",105,140,190
"2021S051235250200",135,175,220
"2021S051235250201",70,95,115
"2021S051235250202",110,165,230
"2021S051235250203",120,185,240
"2021S051235250204",90,155,210
"2021S051235250205",55,80,95
"2021S051235250206",125,170,220
"2021S051235250207",65,85,100
"2021S051235250208",125,150,175
"2021S051235250209",110,130,150
"2021S051235250210",110,150,190
"2021S051235250211",195,235,250
"2021S051235250212",170,210,235
"2021S051235250213",140,155,185
